,District,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Dem,Rep,Total,Margin,Incumbency,pres_16,pres_20,State,Shift,rep_raise,rep_spend,dem_raise,dem_spend,dem_supported,dem_opposed,gop_supported,gop_opposed,dem_total_spent,gop_total_spent,spending_delta,Uncontested,WAR,WAR_raw,Democrat,Republican
15,AZ-04,5.916855558837938,4.593482031526874,2.9284814851396206,3.048809101600948,2.4167503512129107,0.6756628800545867,148941.0,116521.0,265498.0,-12.21,-1.0,-0.026490066225165476,-0.10505665640710249,AZ,0.025,1703911.0,1484830.0,4292735.0,5273648.0,248520,1854,79124,3513488,9035656.0,1565808.0,-2.5211333680392416,False,D +1.4,-0.013746658552209995,Greg Stanton,Kelly Cooper
16,AZ-05,6.158005175196198,4.0334057304350726,2.4719008206461504,3.035394243636896,1.8332118555416075,0.6025628080230778,120275.0,182464.0,321590.0,19.34,1.0,0.23177366702937974,0.1663762642240414,AZ,0.025,1957054.0,2364352.0,16002.0,14985.0,0,0,4718,20608,35593.0,2369070.0,5.705441569910727,False,D +4.1,-0.040860485649451356,Javier Ramos,Andy Biggs
17,AZ-06,6.094746879947254,4.4798230758112085,2.4202573690939895,2.4090964326373268,2.0734931391190763,0.6285854004650376,172040.0,177201.0,349283.0,1.48,0.0,0.056034482758620774,-0.0007357803462824108,AZ,0.025,3349950.0,3285041.0,2442017.0,2431860.0,123221,4681980,2020793,43497,2598578.0,9987814.0,1.9383491147382266,False,D +2.6,-0.025569229859642946,Kirsten Engel,Juan Ciscomani
18,AZ-07,5.083046470395747,5.819762124142351,2.5727217740332335,2.0064500002421015,2.7707079525375846,0.4432131024737497,126418.0,69444.0,195862.0,-29.09,-1.0,-0.3605150214592274,-0.3326494323621939,AZ,0.025,216984.0,192901.0,624341.0,621705.0,2018,0,0,0,623723.0,192901.0,-1.6430764014240935,False,R +2.3,0.022523817146239578,Raul Grijalva,Luis Pozzolo
19,AZ-08,6.121859764704101,4.254536281518817,2.670266987388183,2.6583993939212323,1.9820235083751232,0.44489694814565417,0.0,197555.0,204713.0,93.01,1.0,0.202572347266881,0.13725766761454516,AZ,0.025,1183677.0,833111.0,0.0,0.0,0,0,58691,0,0.0,891802.0,6.494738804449049,True,,,None,Debbie Lesko
20,AZ-09,5.98364369828142,4.744739447523643,2.636326603093059,2.161120203805512,2.2427401826030517,0.6036101578723725,0.0,192796.0,197185.0,95.55,1.0,0.3105656350053363,0.2614087246146797,AZ,0.025,923785.0,823189.0,0.0,0.0,0,0,58547,83998,83998.0,881736.0,3.2459146950334263,True,,,None,Paul Gosar
21,CA-01,6.051499549336013,4.359740389212227,1.8852020017537505,2.9515330967164775,2.808356894573672,0.7285145811315652,93166.0,152207.0,245373.0,24.06,1.0,0.2344086021505376,0.1958825417296033,CA,0.076,949542.0,661695.0,624550.0,587984.0,0,0,0,0,587984.0,661695.0,0.16769940636857433,False,D +2.0,-0.019927280486548793,Max Steiner,Doug LaMalfa
22,CA-02,6.11678291610974,4.240979677574092,1.8321379528071484,2.7931434869906067,2.6775701272083934,0.6758744737761606,229720.0,79029.0,308749.0,-48.81,-1.0,-0.49295774647887336,-0.5071355437910336,CA,0.076,10677.0,10677.0,920095.0,735668.0,833,0,0,0,736501.0,10677.0,-5.174045405836119,False,D +1.0,-0.01025178975784058,Jared Huffman,Douglas Brower
23,CA-03,6.19604158464827,3.7432026721680898,1.753664600674358,3.305961426242992,2.2096170366912316,0.718659928207107,156761.0,181438.0,338199.0,7.3,0.0,0.08405172413793105,0.01847286074447574,CA,0.076,3186976.0,3109839.0,3216905.0,3179040.0,128214,96000,199107,5500,3312754.0,3404946.0,0.039483278491302225,False,D +0.4,-0.004359050765323724,Kermit Jones,Kevin Kiley
24,CA-04,5.8155804639629585,4.835067848321465,2.3457791699461352,3.4628559847238622,2.3202524676648695,0.8804724592353358,176900.0,84007.0,260907.0,-35.6,-1.0,-0.36989247311827955,-0.37474461213998556,CA,0.076,11227.0,11204.0,2229581.0,2239999.0,707,0,0,0,2240706.0,11204.0,-6.72989736013116,False,D +0.2,-0.0023486715093367083,Mike Thompson,Matt Brock
25,CA-05,6.000707054935149,4.543425410322329,2.03609317156988,3.109538204564298,2.4312070798725194,0.9327780778484048,109465.0,173464.0,282929.0,22.62,1.0,0.16080937167199139,0.12582038480955848,CA,0.076,1639264.0,1642647.0,461012.0,457921.0,0,0,161,8,457929.0,1642808.0,1.8205575944179713,False,R +1.4,0.013770187680760382,MIke Barkley,Tom McClintock
26,CA-06,5.7042478945163575,4.414968644597522,3.5956925094641337,3.9697615592713658,2.2750627058902135,1.330509868132355,121058.0,95325.0,216383.0,-11.89,-1.0,-0.18103448275862066,-0.18932234900922174,CA,0.076,1153596.0,1071020.0,1491041.0,1757991.0,1569772,0,0,0,3327763.0,1071020.0,-1.6264883041658613,False,R +2.4,0.02446552889870715,Ami Bera,Tamika Hamilton
27,CA-07,5.170075571864945,4.647514535358723,3.746543799188496,4.756830097436008,2.1669180050929655,1.7546240004894385,150618.0,70033.0,220651.0,-36.52,-1.0,-0.4106382978723404,-0.38041937798898784,CA,0.076,57079.0,46196.0,1388767.0,1399024.0,114,0,0,0,1399138.0,46196.0,-4.648201650785405,False,D +2.4,-0.024472529312504487,Doris Matsui,Max Semenenko
