District,dem_supported,dem_opposed,gop_supported,gop_opposed
MN-04,298650,0,0,0
MN-05,17035,130592,0,0
MN-06,0,0,0,0
MN-07,0,0,13463,3811
MN-08,111,0,0,3819
MO-01,92826,170602,0,0
MO-02,2010,0,162858,8
MO-03,0,0,0,0
MO-04,0,0,592075,692826
MO-05,12518,0,0,0
MO-06,0,0,0,0
MO-07,0,0,691298,682336
MO-08,2000,0,0,0
MS-01,0,0,902,0
MS-02,8,0,0,8
MS-03,0,0,22126,0
MS-04,0,0,56195,37399
MT-01,9500,939180,61632,708030
MT-02,0,0,2112,1258
NC-01,2715162,2589,41633,5578376
NC-02,1924,0,0,0
NC-03,0,0,1229,0
NC-04,3458458,0,36000,0
NC-05,0,1970,3861,90865
NC-06,24910,0,54060,0
NC-07,0,0,0,0
NC-08,0,0,2899,8
NC-09,0,0,16657,7697
NC-10,0,0,168886,0
NC-11,0,0,336934,0
NC-12,3703,50000,0,0
NC-13,135054,6280754,2393972,5215784
NC-14,84916,0,48565,0
ND-AL,0,0,0,0
NE-01,0,0,109554,173173
NE-02,6771,5199538,1994488,3610160
NE-03,0,0,0,0
NH-01,308778,8953418,913886,9098833
NH-02,335439,50000,165615,1760626
NJ-01,18,0,0,8
NJ-02,324,0,0,0
NJ-03,139935,2427459,769510,52448
NJ-04,0,0,251474,16258
NJ-05,152613,21301,16850,4366847
NJ-06,18,0,0,0
NJ-07,657327,5962789,187970,1512171
NJ-08,265126,0,0,0
NJ-09,18,0,0,8
NJ-10,70018,0,0,0
NJ-11,1138567,0,0,3991498
NJ-12,0,0,0,0
NM-01,160087,97641,0,0
NM-02,1240218,6152372,1841809,4957915
NM-03,0,0,0,0
NV-01,909137,8691105,464902,6866542
NV-02,50783,0,1215467,80192
NV-03,1554531,12545834,3074706,7717931
NV-04,1101329,942992,1329092,4692594
NY-01,164293,48374,184822,1022173
NY-02,180007,13124,289096,255963
NY-03,1287680,0,0,0
NY-04,415445,1456549,75000,1394100
NY-05,2983,0,0,0
NY-06,9618,0,0,8
NY-07,18,0,0,0
NY-08,30,0,0,0
NY-09,18,0,0,0
NY-10,127699,0,0,0
NY-11,10011,0,2604,8728
NY-12,72508,0,0,0
NY-13,18,0,0,0
NY-14,2094,140833,0,0
NY-15,4174,0,0,0
NY-16,154847,0,0,0
NY-17,0,0,21175,4224659
NY-18,956826,5613859,374636,5556734
NY-19,357255,6148976,1125193,5511870
NY-20,18,0,0,8
NY-21,0,0,32382,166630
NY-22,995161,5633553,993142,4635382
NY-23,0,0,92869,0
NY-24,19610,0,58728,8
NY-25,32197,31500,31500,247538
NY-26,18,0,0,0
OH-01,748376,4299293,691308,3631642
OH-02,0,0,2673,0
OH-03,18,0,0,0
OH-04,0,0,6900,40489
OH-05,0,0,1647,8
OH-06,0,0,1531,0
OH-07,0,0,351060,10897
OH-08,0,0,16400,0
OH-09,643500,585030,410832,1697755
OH-10,0,0,0,8
OH-11,3001665,355497,0,0
OH-12,0,0,1505,0
OH-13,872836,7624317,0,0
OH-14,0,0,0,8
OH-15,0,0,613600,346963
OK-01,0,0,0,0
OK-02,0,0,1994093,2122860
OK-03,0,0,18000,0
OK-04,0,0,0,0
OK-05,0,0,51203,8341
OR-01,18,0,0,0
OR-02,0,0,780,0
OR-03,18,0,113,8
OR-04,822403,824330,22244,1636526
OR-05,1024865,7900407,0,0
OR-06,2328063,2166704,8298,4913031
PA-01,70120,0,552439,199275
PA-02,4561,0,0,0
PA-03,67527,0,0,0
PA-04,17197,0,0,0
PA-05,0,0,0,0
PA-06,809432,0,40010,0
PA-07,496017,10851096,23365,4802673
PA-08,228128,6589473,450359,5806052
PA-09,3689,0,2710,0
PA-10,17338,230628,627427,12188
PA-11,3689,0,2270,0
PA-12,2784294,3273350,0,0
PA-13,0,0,3213,0
PA-14,0,0,3189,0
PA-15,3689,0,15958,0
PA-16,3689,0,2301,14008
PA-17,1193040,7658254,1641820,7610061
RI-01,0,0,0,8
RI-02,680468,4895148,192843,3047398
SC-01,0,0,599162,449308
SC-02,0,0,0,0
SC-03,0,0,680,0
SC-04,0,0,0,39911
SC-05,1040,0,680,8
SC-06,20,0,0,0
SC-07,0,0,30081,345200
SD-AL,0,0,176374,293924
TN-01,0,0,0,0
TN-02,0,0,0,66923
