District,rep_raise,rep_spend,dem_raise,dem_spend
TX-26,"$1,328,397 ","$1,244,511 ",,
TX-27,"$1,049,389 ","$998,555 ","$11,098 ","$4,083 "
TX-28,"$3,458,411 ","$3,388,312 ","$4,625,511 ","$6,070,652 "
TX-29,,,"$938,204 ","$751,031 "
TX-30,"$61,690 ","$61,683 ","$952,032 ","$783,309 "
TX-31,"$1,326,587 ","$1,062,030 ",,
TX-32,"$1,826,611 ","$1,826,611 ","$3,367,351 ","$1,520,487 "
TX-33,,,"$1,815,341 ","$1,445,666 "
TX-34,"$4,583,501 ","$4,499,197 ","$2,909,098 ","$3,925,644 "
TX-35,"$31,515 ","$28,368 ","$1,710,164 ","$1,504,391 "
TX-36,"$1,051,036 ","$900,072 ","$77,614 ","$77,619 "
TX-37,"$9,052 ","$12,433 ","$1,298,224 ","$1,275,924 "
TX-38,"$5,767,475 ","$3,960,711 ","$267,130 ","$267,130 "
UT-01,"$1,586,571 ","$1,104,880 ",,
UT-02,"$1,075,220 ","$1,006,651 ",,
UT-03,"$2,088,358 ","$1,918,418 ","$17,996 ","$18,128 "
UT-04,"$3,462,336 ","$3,295,832 ","$171,588 ","$146,718 "
VA-01,"$2,112,838 ","$1,739,408 ","$314,866 ","$25,327 "
VA-02,"$3,461,292 ","$3,369,443 ","$10,695,235 ","$10,453,366 "
VA-03,"$179,774 ","$179,622 ","$845,556 ","$822,787 "
VA-04,"$324,711 ","$342,515 ","$931,665 ","$1,008,337 "
VA-05,"$1,145,460 ","$1,149,677 ","$876,726 ","$834,593 "
VA-06,"$980,766 ","$921,602 ","$143,024 ","$144,212 "
VA-07,"$3,659,786 ","$3,442,397 ","$8,952,524 ","$9,162,378 "
VA-08,"$290,687 ","$255,757 ","$2,100,889 ","$2,102,213 "
VA-09,"$806,982 ","$610,446 ","$58,627 ","$56,124 "
VA-10,"$3,201,166 ","$3,054,523 ","$3,785,533 ","$5,595,434 "
VA-11,"$227,518 ","$224,731 ","$2,082,829 ","$1,680,121 "
VT-AL,47660,42115,1864708,1787355
WA-01,184848,176564,2473292,3087063
WA-02,141868,140469,1682589,1671462
WA-03,3679292,3524171,3839471,3747659
WA-04,2118033,2374470,772005,747197
WA-05,6259956,6214619,367074,358920
WA-06,414951,415659,2600412,4384387
WA-07,8019,21118,2693263,1988088
WA-08,2669495,2665158,9410198,10788701
WA-09,133962,133068,1381220,1356048
WA-10,153586,179495,1879228,1415107
WI-01,3578116,2431657,827463,786807
WI-02,68861,65075,1134480,969356
WI-03,6238519,6093051,1883342,1834387
WI-04,0,0,1169490,1168161
WI-05,992086,777337,145774,82738
WI-06,1237191,956913,0,0
WI-07,1174851,943504,80373,87350
WI-08,3214351,1252669,0,0
WV-01,1229550,1151468,0,0
WV-02,4451299,5979895,27665,27628
WY-AL,5666953,5237564,87300,87857
