District,rep_raise,rep_spend,dem_raise,dem_spend
FL-04,"$1,191,137 ","$1,064,802 ","$10,440 ",$0 
FL-05,"$780,253 ","$596,778 ",,
FL-06,"$2,909,106 ","$2,680,272 ",,
FL-07,"$2,608,648 ","$2,457,668 ","$67,799 ","$32,407 "
FL-08,"$1,028,071 ","$701,626 ","$82,292 ","$81,507 "
FL-09,"$595,333 ","$586,880 ","$1,322,980 ","$1,401,879 "
FL-10,"$241,823 ","$236,441 ","$2,853,362 ","$2,507,040 "
FL-11,"$776,981 ","$748,386 ","$20,763 ","$20,678 "
FL-12,"$1,968,025 ","$1,764,688 ","$19,286 ","$21,912 "
FL-13,"$3,349,685 ","$3,334,132 ","$2,227,917 ","$2,056,394 "
FL-14,"$185,000 ","$181,817 ","$1,566,513 ","$1,606,211 "
FL-15,"$1,544,299 ","$1,410,703 ","$810,644 ","$840,723 "
FL-16,"$4,000,581 ","$2,518,723 ","$21,489 ","$45,798 "
FL-17,"$1,615,997 ","$919,338 ","$27,724 ","$23,269 "
FL-18,"$1,083,963 ","$742,566 ",,
FL-19,"$5,526,074 ","$5,235,188 ","$102,781 ","$98,869 "
FL-20,"$109,229 ","$109,102 ","$4,282,974 ","$4,321,304 "
FL-21,"$6,239,702 ","$4,907,696 ","$81,953 ","$66,504 "
FL-22,"$1,591,958 ","$1,587,051 ","$1,258,244 ","$1,789,823 "
FL-23,"$171,384 ","$171,127 ","$1,693,412 ","$1,597,545 "
FL-24,"$15,868 ","$15,911 ","$611,972 ","$465,633 "
FL-25,"$1,963,900 ","$1,926,980 ","$2,076,304 ","$1,858,197 "
FL-26,"$1,810,493 ","$1,465,976 ","$138,077 ","$131,100 "
FL-27,"$5,371,198 ","$5,308,932 ","$1,934,140 ","$1,841,785 "
FL-28,"$2,122,426 ","$1,301,083 ","$124,785 ","$105,813 "
GA-01,"$2,071,023 ","$1,931,670 ","$1,380,173 ","$1,379,509 "
GA-02,"$959,244 ","$942,090 ","$3,003,609 ","$3,051,989 "
GA-03,"$3,392,862 ","$3,249,352 ","$75,606 ","$50,814 "
GA-04,,,"$564,459 ","$649,924 "
GA-05,"$35,196 ","$24,820 ","$1,132,532 ","$1,302,349 "
GA-06,"$4,182,455 ","$4,001,416 ","$303,353 ","$314,048 "
GA-07,"$367,364 ","$362,134 ","$5,360,081 ","$4,722,393 "
GA-08,"$818,873 ","$738,251 ","$22,543 ","$24,160 "
GA-09,"$811,284 ","$694,535 ","$36,016 ","$38,718 "
GA-10,"$1,064,086 ","$849,098 ","$46,552 ","$46,438 "
GA-11,"$785,364 ","$866,662 ","$102,107 ","$102,034 "
GA-12,"$990,617 ","$716,682 ","$192,682 ","$191,948 "
GA-13,"$19,010 ","$18,488 ","$1,997,446 ","$1,738,312 "
GA-14,"$12,447,000 ","$10,570,074 ","$16,588,349 ","$15,978,392 "
HI-01,"$82,009 ","$80,589 ","$1,048,019 ","$655,557 "
HI-02,"$71,632 ","$70,362 ","$1,010,915 ","$789,692 "
IA-01,"$4,550,656 ","$4,501,749 ","$3,178,980 ","$3,106,577 "
IA-02,"$7,091,555 ","$7,074,344 ","$4,201,940 ","$4,185,708 "
IA-03,"$2,486,934 ","$2,379,324 ","$7,123,679 ","$7,097,519 "
IA-04,"$2,863,637 ","$1,800,778 ","$52,978 ","$48,879 "
ID-01,"$527,510 ","$446,912 ","$69,555 ","$61,018 "
ID-02,"$1,618,707 ","$1,634,330 ","$13,705 ","$9,083 "
IL-01,"$5,896 ","$5,250 ","$767,526 ","$733,677 "
IL-02,,,"$1,708,726 ","$1,263,592 "
IL-03,"$28,008 ","$25,733 ","$979,728 ","$825,941 "
IL-04,,,"$924,773 ","$999,453 "
IL-05,"$28,663 ","$26,617 ","$1,056,284 ","$856,637 "
IL-06,"$1,477,478 ","$1,458,013 ","$5,470,835 ","$5,714,640 "
IL-07,,,"$678,246 ","$871,358 "
IL-08,"$467,109 ","$454,901 ","$8,342,354 ","$5,309,490 "
IL-09,"$9,896 ","$5,840 ","$1,540,224 ","$1,358,574 "
IL-10,"$34,275 ","$21,920 ","$3,763,612 ","$5,375,466 "
IL-11,"$2,718,109 ","$2,676,580 ","$3,301,695 ","$6,169,205 "
IL-12,"$1,647,794 ","$1,632,627 ","$65,213 ","$62,592 "
IL-13,"$2,096,449 ","$2,086,952 ","$3,855,763 ","$3,814,634 "
IL-14,"$651,392 ","$631,137 ","$6,799,295 ","$6,323,869 "
