District,Democrat,Republican
IL-14,Lauren Underwood,Scott Gryder
IL-15,Paul Lange,Mary Miller
IL-16,Elizabeth Haderlein,Darin LaHood
IL-17,Eric Sorensen,Esther Joy King
IN-01,Frank Mrvan,Jennfier-Ruth Green
IN-02,Paul Steury,Rudy Yakym
IN-03,Gary Snyder,Jim Banks
IN-04,Roger Day,Jim Baird
IN-05,Jeannine Lee Lake,Victoria Spartz
IN-06,Cinde Wirth,Greg Pence
IN-07,Andre Carson,Angela Grabovsky
IN-08,Ray McCormick,Larry Bucshon
IN-09,Matthew Fyfe,Erin Houchin
KS-01,Jimmy Beard,Tracey Mann
KS-02,Patrick Schmidt,Jake LaTurner
KS-03,Sharice Davids,Amanda Adkins
KS-04,Bob Hernandez,Ron Estes
KY-01,Jimmy Ausbrooks,James Comer
KY-02,Hank Linderman,Brett Guthrie
KY-03,Morgan McGarvey,Stuart Ray
KY-04,Matt Lehman,Thomas Massie
KY-05,Conor Halbleib,Hal Rogers
KY-06,Geoff Young,Andy Barr
LA-01,Katie Darling,Steve Sclaise
LA-02,Troy Carter,Dan Lux
LA-03,Various Dems,Clay Higgins
LA-04,,Mike Johnson
LA-05,Various Dems,Julia Letlow
LA-06,,Garret Graves
MA-01,Richard Neal,Dean Martilli
MA-02,Jim McGovern,Jeffrey Sossa-Paquette
MA-03,Lori Trahan,Dean Tran
MA-04,Jake Auchincloss,
MA-05,Katherine Clark,Caroline Colarusso
MA-06,Seth Moulton,Bob May
MA-07,Ayanna Pressley,Donnie Palmer
MA-08,Stephen Lynch,Robert Burke
MA-09,Bill Keating,Jesse Brown
MD-01,Heather Mizeur,Andy Harris
MD-02,Dutch Ruppersberger,Nicolee Ambrose
MD-03,John Sarbanes,Yuripzy Morgan
MD-04,Glenn Ivey,Jeff Warner
MD-05,Steny Hoyer,Chris Palombi
MD-06,David Trone,Neil Parrott
MD-07,Kweisi Mfume,Scott Collier
MD-08,Jamie Raskin,Gregory Coll
ME-01,Chellie Pingree,Ed Thelander
ME-02,Jared Golden,Bruce Poliquin
MI-01,Bob Lorinser,Jack Bergman
MI-02,Jerry Hilliard,John Moolenaar
MI-03,Hillary Scholten,John Gibbs
MI-04,Joseph Alfonso,Bill Huizenga
MI-05,Bart Goldberg,Tim Walberg
MI-06,Debbie Dingell,Whittney Williams
MI-07,Elissa Slotkin,Tom Barrett
MI-08,Dan Kildee,Paul Junge
MI-09,Brian Jaye,Lisa McClain
MI-10,Carl Marlinga,John James
MI-11,Haley Stevens,Mark Ambrose
MI-12,Rashida Tlaib,Steve Elliott
MI-13,Shri Thanedar,Martell Bivings
MN-01,Jeff Ettinger,Brad Finstad
MN-02,Angie Craig,Tyler Kistner
MN-03,Dean Phillips,Tom Weiler
MN-04,Betty McCollum,May Lor Xiong
MN-05,Illhan Omar,Cicely Davis
MN-06,Jeanne Hendricks,Tom Emmer
MN-07,Jill Abahsain,Michelle Fischbach
