District,Biden,Trump,Clinton,Trump16
IN-06,33,64.9,28.2,65.3
IN-07,70.4,27.8,64.8,29
IN-08,32.7,65.5,30.2,64.3
IN-09,35.4,62.8,33.1,61.4
IA-01,47.5,50.4,44.8,47.9
IA-02,46.8,51.2,44.1,48.7
IA-03,48.8,49.2,44.8,47.8
IA-04,36.1,62,33.2,60.2
KS-01,34.1,63.7,29.6,63.5
KS-02,40.7,57,36.9,55.6
KS-03,51.2,46.7,42.9,48.2
KS-04,38,59.7,32.3,59.2
KY-01,27.9,70.6,25.9,70.2
KY-02,30.8,67.5,27.8,67.6
KY-03,60.3,37.9,55.1,39.6
KY-04,32.8,65.4,28.9,65.6
KY-05,19.7,79.1,18.5,78.5
KY-06,43.5,54.5,38.2,55.8
LA-01,29.3,68.8,26.1,69.3
LA-02,75.6,22.8,74.6,22.2
LA-03,30.3,68,29.3,67.2
LA-04,37.2,61.3,37,60.3
LA-05,34.4,64.1,34.4,63.2
LA-06,32.2,65.9,30.2,65.5
MA-01,59.6,38,54.9,37.4
MA-02,64,33.3,57.5,33.9
MA-03,62.3,35.3,56.5,35.5
MA-04,63,34.7,57.6,35.1
MA-05,74.4,23.5,68.6,24.9
MA-06,62.8,35,55.6,37.1
MA-07,85.2,13,83.2,11.6
MA-08,66.6,31.3,60.5,32.9
MA-09,58,39.9,51.4,41.5
MD-01,41.5,55.9,35.6,58.6
MD-02,58.9,38.3,52.3,41.2
MD-03,61.2,35.9,53.2,39.5
MD-04,89.2,8.6,89.2,7.4
MD-05,67,30.7,59.2,35.3
MD-06,53.6,43.8,47.4,46.2
MD-07,80.5,17.4,77.7,17.6
MD-08,79.9,17.8,75.7,18.4
ME-01,60,37.2,53.8,39.4
ME-02,45.5,51.6,41.6,50.6
MI-01,39.3,59.1,35.6,58.9
MI-02,35,63.2,32.9,60.9
MI-03,53.3,44.8,46.7,46.6
MI-04,47.1,51,42.2,51.6
MI-05,37.1,61.2,34.5,59.9
MI-06,62.7,36,58,37.2
MI-07,49.6,48.7,45.1,48.9
MI-08,50.3,48.2,48,46.9
MI-09,34.5,64,30.9,64
MI-10,48.9,49.8,45.1,50.4
MI-11,59.3,39.4,54.5,40.9
MI-12,73.7,25.2,71.8,24.6
MI-13,74.2,24.6,74.1,22.7
MN-01,44.2,53.4,38.5,52.4
MN-02,52.4,45.2,45,46
MN-03,59.3,38.4,51.1,40.1
MN-04,67.5,30.2,61.1,30
MN-05,80.3,17.4,73.3,18.1
MN-06,40,57.6,33.8,57.5
MN-07,32.4,65.6,29.3,63.2
MN-08,43.3,54.5,39.5,52.3
MO-01,78.4,20,74.9,20.9
MO-02,45.3,53.1,39.3,55.8
MO-03,36,62.1,32,62.9
MO-04,29.2,68.8,26.6,68.2
MO-05,62.2,35.8,57.5,37.1
MO-06,30.6,67.7,28.3,66.6
MO-07,28.4,69.8,24.8,70.2
MO-08,23.6,74.9,22.7,73.5
MS-01,33.4,65.1,32,65.8
MS-02,62.5,36.4,62.3,36.4
MS-03,37.2,61.5,35.2,62.8
MS-04,30.3,68.3,28.1,69.5
MT-01,45.3,52.2,40.2,52
MT-02,35.3,62.2,31.5,61.1
NC-01,53.1,45.8,53.6,43.8
NC-02,63.4,34.7,58.2,36.2
NC-03,36.6,61.9,35.3,61.4
NC-04,66.8,31.8,65,31
NC-05,38.7,59.9,36.7,59.2
NC-06,55.5,43.1,53.4,42.9
NC-07,43,55.7,41.7,54.6
NC-08,32.3,66.4,30.1,66.4
NC-09,45.3,53.2,44.1,52.3
NC-10,29.6,69.1,28.2,68.3
NC-11,44.1,54.3,40.1,55.2
