District,Total Adult Population,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander
VA-11,"605,027","310,060","77,704","57,167","153,741","8,639","1,331"
VT-AL,"524,482","474,146","11,113","9,038","11,665","12,780",518
WA-01,"593,591","373,545","50,321","20,756","129,050","14,498","4,800"
WA-02,"616,179","447,006","62,192","21,428","55,327","25,320","5,591"
WA-03,"593,925","465,423","52,832","15,005","30,294","23,030","6,898"
WA-04,"557,178","316,389","191,355","8,418","14,419","29,606","2,136"
WA-05,"610,022","494,864","43,070","16,200","22,775","26,457","5,337"
WA-06,"625,068","470,242","46,402","30,269","41,153","30,543","8,983"
WA-07,"652,826","421,072","55,585","39,018","118,537","15,992","5,017"
WA-08,"581,338","423,082","51,406","16,833","65,310","18,705","5,553"
WA-09,"602,935","267,554","74,132","79,981","160,912","16,673","13,229"
WA-10,"591,627","379,327","63,379","53,582","64,111","23,730","16,130"
WI-01,"575,451","450,243","58,924","40,818","13,998","11,123",639
WI-02,"584,519","479,314","33,115","27,220","33,675","9,112",694
WI-03,"580,338","527,806","15,418","9,555","13,943","10,156",629
WI-04,"558,133","262,604","85,665","175,603","28,994","11,897",807
WI-05,"578,845","511,486","27,348","11,254","17,935","7,616",523
WI-06,"582,819","515,953","24,727","14,826","15,052","9,432",551
WI-07,"580,264","530,575","11,269","5,786","9,652","18,781",604
WI-08,"571,931","496,245","27,603","11,251","13,391","21,634",549
WV-01,"715,682","649,695","7,866","34,003","6,488","14,334",489
WV-02,"717,250","643,345","15,617","28,957","9,757","14,713",673
WY-AL,"441,337","370,041","38,153","5,928","6,520","18,433","1,009"
