District,Total Adult Population,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander
FL-05,"606,741","409,497","65,881","77,684","42,703","11,078","1,659"
FL-06,"634,516","474,364","62,028","71,174","13,068","13,076","1,020"
FL-07,"616,306","398,072","116,922","64,914","29,100","12,048","1,210"
FL-08,"633,719","474,699","63,693","61,355","20,137","12,774","1,350"
FL-09,"593,636","191,983","297,032","77,314","30,863","11,244","1,854"
FL-10,"610,303","235,180","174,711","158,531","37,190","10,652","1,743"
FL-11,"618,709","391,486","105,760","78,945","28,509","10,928","1,177"
FL-12,"626,932","490,923","73,465","33,192","15,710","13,365",974
FL-13,"650,487","502,137","62,165","46,089","26,682","11,749","1,224"
FL-14,"620,281","306,560","161,068","118,641","31,047","10,096","1,145"
FL-15,"599,800","329,426","136,420","92,389","36,096","12,350","1,230"
FL-16,"607,353","391,827","113,409","72,738","21,880","11,255","1,112"
FL-17,"654,821","517,830","75,570","36,414","13,046","9,842",711
FL-18,"603,562","360,926","142,922","79,749","12,080","12,835",985
FL-19,"650,465","481,820","105,527","39,481","14,409","8,269",761
FL-20,"595,408","140,153","136,811","298,383","20,078","7,063","1,234"
FL-21,"629,736","428,764","95,351","78,571","17,612","9,782","1,026"
FL-22,"625,981","346,268","154,325","99,406","20,956","9,491",961
FL-23,"632,647","369,529","129,741","83,294","28,005","6,722",951
FL-24,"611,792","111,522","235,273","258,005","13,572","5,601",792
FL-25,"607,264","208,608","256,630","106,416","36,550","7,642","1,079"
FL-26,"623,498","122,723","456,512","43,160","9,479","5,428",468
FL-27,"636,002","107,346","471,763","44,946","16,646","5,443",583
FL-28,"609,131","92,771","446,828","62,852","13,602","6,988",582
GA-01,"589,266","355,947","39,938","166,025","17,615","11,791","1,718"
GA-02,"587,555","251,047","30,074","289,612","11,125","9,075","1,286"
GA-03,"586,319","391,849","31,274","136,708","14,933","12,255",694
GA-04,"589,470","166,544","59,670","321,379","39,718","10,031",793
GA-05,"621,515","235,652","41,432","308,271","33,476","8,361",866
GA-06,"574,797","382,971","52,353","56,969","70,556","10,188",731
GA-07,"566,934","185,838","120,604","169,071","89,868","11,762",909
GA-08,"585,857","354,572","35,732","175,967","11,877","9,554",841
GA-09,"592,520","404,611","76,361","61,747","38,220","13,976",649
GA-10,"588,874","389,823","38,336","133,097","16,567","11,556",731
GA-11,"595,191","380,895","66,799","106,805","26,906","13,695",783
GA-12,"588,119","321,394","28,628","215,958","15,023","9,842","1,312"
GA-13,"574,799","108,160","60,470","383,669","22,024","9,831",768
GA-14,"579,058","413,030","61,247","82,708","8,676","15,968",647
HI-01,"585,659","94,213","38,697","18,240","398,963","10,962","104,993"
HI-02,"570,246","181,411","54,410","13,744","247,592","17,167","159,458"
IA-01,"618,402","530,702","28,937","29,258","16,682","9,848",807
IA-02,"617,226","545,476","18,656","29,445","11,217","9,006","1,906"
IA-03,"600,958","493,314","39,637","30,959","25,010","9,498","1,151"
IA-04,"613,517","524,277","46,874","14,474","15,041","10,365","2,764"
ID-01,"692,128","572,254","68,233","6,356","14,311","24,703","2,781"
ID-02,"684,272","549,212","83,467","9,691","18,051","20,822","2,945"
IL-01,"589,021","217,813","46,406","306,380","15,438","8,185",528
IL-02,"580,993","210,713","77,611","280,964","7,783","10,704",615
IL-03,"588,880","251,848","257,871","35,538","43,017","20,324","1,026"
IL-04,"563,323","147,658","356,197","32,793","26,345","27,272",660
IL-05,"618,186","453,104","65,900","20,617","72,694","7,407",730
IL-06,"593,478","442,873","70,055","34,837","38,785","7,954",548
IL-07,"607,675","198,783","84,153","261,207","62,079","8,953",752
IL-08,"586,513","342,671","121,507","27,923","88,874","12,304",759
IL-09,"607,511","374,121","70,826","58,940","97,378","9,307",877
IL-10,"575,610","354,504","122,070","41,054","50,164","12,712",979
IL-11,"574,787","382,643","94,482","37,948","51,448","10,326",612
IL-12,"589,350","518,915","13,972","32,744","8,335","12,005",680
IL-13,"595,719","403,862","25,560","120,909","32,027","12,223",768
IL-14,"564,317","353,681","113,236","57,426","31,975","12,358",543
IL-15,"592,293","538,096","14,321","20,045","6,073","10,541",594
IL-16,"582,046","507,844","30,726","15,473","14,673","10,444",506
IL-17,"589,767","424,419","55,419","83,583","15,101","11,919",772
IN-01,"580,667","367,001","83,050","109,975","10,674","12,242",537
IN-02,"571,029","453,103","52,706","40,851","11,036","12,294",619
IN-03,"563,485","468,328","30,778","37,126","15,490","10,439",620
IN-04,"577,297","481,532","34,013","23,347","24,655","11,043","3,374"
IN-05,"574,610","479,447","21,767","38,139","22,495","10,346",557
IN-06,"570,671","479,310","24,119","25,458","28,890","10,908",707
IN-07,"578,117","291,454","70,431","192,839","15,824","11,668",762
IN-08,"585,235","522,022","14,371","27,167","7,756","10,760",878
IN-09,"591,468","523,453","19,694","20,178","13,399","12,524",637
KS-01,"565,616","439,359","73,822","20,746","14,112","18,188","1,205"
KS-02,"554,813","406,652","59,029","54,674","12,369","22,956","1,679"
KS-03,"556,362","433,217","47,341","30,004","30,016","13,934",823
KS-04,"552,525","404,754","61,394","42,749","22,437","22,819","1,261"
KY-01,"581,614","499,121","17,549","45,739","5,749","11,794",738
KY-02,"573,283","491,040","19,187","35,852","12,979","11,930","1,393"
KY-03,"589,875","387,039","40,407","129,992","22,118","11,076",992
KY-04,"569,659","504,457","19,158","22,964","8,545","11,761",897
KY-05,"585,793","551,365","7,471","11,524","3,115","10,688",324
KY-06,"583,676","472,523","29,303","53,120","16,101","11,651","1,407"
LA-01,"601,559","420,268","65,811","81,105","18,342","17,914",732
LA-02,"600,203","179,129","47,041","352,018","19,606","9,069",665
LA-03,"586,488","392,996","27,487","144,434","11,908","9,868",629
LA-04,"591,095","343,535","24,043","199,907","8,679","15,045","1,026"
LA-05,"597,389","360,144","21,569","196,617","7,734","11,631",581
LA-06,"593,814","386,038","37,711","141,688","16,678","11,378",527
MA-01,"625,152","457,747","98,662","45,708","17,184","10,946","1,072"
MA-02,"626,463","462,756","60,158","40,727","48,770","8,623",755
MA-03,"611,501","393,019","119,115","38,672","52,040","8,601","1,049"
MA-04,"615,677","496,109","31,266","28,391","43,962","5,901",699
MA-05,"631,188","422,500","59,266","39,564","87,296","5,787",727
MA-06,"624,046","496,648","57,360","27,150","32,796","6,595",628
MA-07,"653,761","275,583","126,572","158,657","90,316","9,098","1,292"
MA-08,"637,174","440,369","38,201","78,579","65,087","5,796",798
MA-09,"638,761","544,254","30,908","28,865","10,669","8,589",765
MD-01,"607,726","455,671","27,377","94,079","18,575","11,674",912
MD-02,"606,852","378,642","30,831","147,706","41,572","9,439",678
MD-03,"593,206","359,531","45,052","109,182","70,477","10,871","1,065"
MD-04,"599,171","73,778","131,605","358,207","38,436","14,951","1,069"
MD-05,"597,544","272,785","36,063","256,656","25,284","13,369","1,310"
MD-06,"600,128","381,499","69,774","83,444","56,660","11,796",974
MD-07,"610,826","198,323","43,910","334,297","29,375","11,233",842
MD-08,"599,749","281,131","107,650","109,418","96,180","10,300",999
ME-01,"557,050","507,050","10,166","13,089","11,477","10,033",576
ME-02,"553,035","510,454","7,490","8,871","6,534","14,772",572
MI-01,"633,080","575,217","10,255","8,525","5,386","28,298",678
MI-02,"606,868","541,129","23,154","16,673","5,161","15,972",480
MI-03,"597,448","442,096","52,640","70,012","20,945","12,616",678
MI-04,"593,972","465,772","41,861","53,347","17,493","13,886",642
MI-05,"606,306","525,147","25,025","29,565","7,358","15,067",474
MI-06,"619,426","442,928","26,864","67,116","68,823","11,145",730
MI-07,"611,160","501,351","29,147","41,539","23,008","13,356",722
MI-08,"606,390","462,261","26,926","91,882","9,005","14,019",494
MI-09,"606,770","543,625","19,068","16,550","10,076","12,316",367
MI-10,"620,272","469,713","15,848","81,191","40,047","10,323",529
MI-11,"624,065","442,233","27,866","84,964","56,976","9,546",508
MI-12,"596,111","282,914","17,013","272,419","15,570","9,492",504
MI-13,"592,734","234,410","51,978","277,723","20,592","12,435",697
MN-01,"549,351","470,076","31,285","20,105","17,666","7,832",822
MN-02,"535,271","422,973","34,031","32,860","33,070","9,432",765
MN-03,"549,165","416,013","23,791","49,858","48,773","8,405",638
MN-04,"549,351","372,953","34,272","60,639","70,316","11,373",893
MN-05,"571,885","373,926","48,922","94,621","40,674","16,034",906
MN-06,"528,178","458,504","16,060","22,856","18,453","8,485",596
MN-07,"544,716","493,732","22,080","8,837","5,994","11,372",890
MN-08,"561,116","500,876","8,326","9,010","6,585","31,414",581
MO-01,"609,403","269,712","24,298","276,602","28,909","10,854",674
MO-02,"598,975","515,223","15,934","21,993","30,458","10,994",542
MO-03,"601,259","518,582","16,694","31,568","14,850","14,859",823
MO-04,"589,494","502,063","23,774","29,530","9,692","19,517","1,844"
MO-05,"597,387","369,638","56,750","134,105","18,878","18,759","2,607"
MO-06,"588,295","516,577","18,642","24,667","8,558","15,441","1,582"
MO-07,"594,947","505,834","29,527","15,694","11,381","27,157","2,661"
MO-08,"595,852","526,013","11,554","28,048","6,779","18,170",593
MS-01,"570,086","381,596","17,747","154,218","7,178","8,903",476
MS-02,"571,715","196,358","11,932","355,293","4,341","6,097",352
MS-03,"568,068","350,071","13,512","184,901","8,337","11,501",432
MS-04,"567,730","387,426","25,446","128,668","12,861","12,580",954
MT-01,"432,021","374,714","15,436","3,109","6,308","27,900",952
MT-02,"418,102","352,839","14,472","4,333","5,247","38,234","1,016"
NC-01,"587,954","294,407","34,475","242,428","7,455","12,759",775
NC-02,"573,899","344,999","53,463","104,319","63,761","9,873",868
NC-03,"585,030","394,297","54,635","110,504","12,844","14,433","1,964"
NC-04,"592,756","329,839","64,683","157,891","31,762","12,789",672
NC-05,"595,196","450,465","48,509","74,482","10,675","12,667",714
NC-06,"584,671","319,769","46,512","185,050","25,361","12,383",724
NC-07,"594,014","385,519","37,158","112,934","9,487","50,982","1,206"
NC-08,"569,673","414,027","46,621","82,479","13,481","13,515",586
NC-09,"570,806","336,655","61,245","140,246","15,819","21,872","2,178"
NC-10,"585,700","459,914","36,793","61,577","14,150","13,609",631
NC-11,"609,830","516,278","37,585","24,465","7,885","21,471","1,332"
NC-12,"564,821","247,084","75,014","203,130","34,463","11,544",795
NC-13,"559,753","345,730","62,775","123,379","18,413","12,281",841
NC-14,"580,996","350,650","64,843","120,168","36,849","11,181",725
ND-AL,"596,093","503,153","21,603","21,444","13,192","35,031","1,361"
NE-01,"495,560","401,792","44,433","19,981","18,138","10,566",898
NE-02,"484,492","348,415","51,311","50,868","23,937","11,089",922
NE-03,"496,075","419,048","49,553","7,803","5,269","14,009",807
NH-01,"560,816","499,334","19,760","11,525","16,617","9,099",624
NH-02,"559,864","496,417","20,040","10,247","17,205","10,205",591
NJ-01,"604,707","381,282","76,390","107,906","36,302","9,840",979
NJ-02,"616,758","415,583","91,163","77,944","26,215","12,116","1,032"
NJ-03,"614,191","404,599","60,160","87,116","56,304","8,355",861
NJ-04,"589,130","482,913","53,575","24,859","19,149","6,746",499
NJ-05,"610,580","373,723","91,062","42,867","101,764","6,469",804
NJ-06,"611,210","276,011","134,818","77,733","120,399","8,782",912
NJ-07,"609,441","447,713","65,743","35,818","53,000","6,405",599
NJ-08,"611,790","164,003","299,470","68,409","81,566","13,668","1,364"
NJ-09,"601,128","245,792","234,804","65,585","60,860","11,499",959
NJ-10,"597,968","121,366","120,022","315,201","44,871","8,731","1,171"
NJ-11,"609,524","390,025","92,745","47,561","75,748","6,346",669
NJ-12,"604,883","263,386","116,047","106,823","117,700","8,700",953
NM-01,"564,033","278,556","212,166","20,639","22,125","40,712","1,748"
NM-02,"534,358","177,682","299,999","15,151","9,810","42,357","1,383"
NM-03,"540,598","207,824","214,599","10,632","9,287","105,408","1,073"
NV-01,"599,975","263,524","193,093","70,437","62,414","17,822","8,557"
NV-02,"611,030","408,010","120,841","17,182","36,406","27,546","5,473"
NV-03,"615,841","290,359","115,953","69,428","128,321","14,034","12,016"
NV-04,"586,480","243,758","179,509","105,783","46,185","18,677","8,775"
NY-01,"624,895","464,464","83,977","34,504","36,405","8,221",587
NY-02,"611,926","363,964","152,022","71,156","23,729","11,198",688
NY-03,"621,744","362,345","79,497","28,217","147,038","5,144",781
NY-04,"609,622","322,474","123,665","115,479","47,653","7,764",811
NY-05,"616,662","81,185","120,717","291,168","107,725","17,359","2,961"
NY-06,"635,768","159,068","144,815","33,251","300,377","9,281","1,218"
NY-07,"629,171","232,661","214,713","93,335","97,474","14,997","1,964"
NY-08,"610,827","175,685","96,355","294,524","60,783","8,635","1,283"
NY-09,"600,367","184,052","67,060","292,429","63,706","7,551",985
NY-10,"634,394","315,170","116,969","52,839","150,367","9,839","2,082"
NY-11,"612,426","331,023","100,842","50,170","132,718","8,915",944
NY-12,"682,247","451,233","74,491","44,697","107,918","5,862","1,888"
NY-13,"632,159","106,775","318,682","212,653","42,186","18,398","2,134"
NY-14,"613,783","120,039","302,203","135,884","77,645","19,290","1,751"
NY-15,"586,079","60,645","313,714","238,005","24,429","16,879","2,289"
NY-16,"603,754","251,709","162,225","150,203","45,724","10,712","1,039"
NY-17,"585,295","384,985","107,837","54,741","35,072","7,604",696
NY-18,"605,187","399,740","98,318","75,981","23,256","12,115",823
NY-19,"635,246","521,143","36,339","34,104","27,527","12,810",864
